"propertyURI","label"
"http://bioontology.org/ontologies/biositemap.owl#version_information","version information"
"http://purl.obolibrary.org/obo/CDAO_0000190","belongs_to"
"http://omabrowser.org/ontology/oma#domain","domain"
"http://purl.org/net/orth#hasCluster","Has cluster"
"http://purl.org/net/orth#hasHomologous","Has homologous"
"http://purl.org/net/orth#hasSource","Has source"
"http://purl.org/net/orth#isHomologMember","Is homologous member"
"http://semanticscience.org/resource/SIO_000974","has ordered part"
"http://purl.org/genex#hasConfidenceLevel","has expression or absence confidence level"
"http://purl.obolibrary.org/obo/RO_0002162","in taxon"
"http://purl.obolibrary.org/obo/RO_0002206","expressed in"
"http://purl.org/genex#hasExpressionCondition","has an expression condition"
"http://purl.org/genex#hasSequenceUnit","has sequence unit"
"http://purl.org/genex#isAbsentIn","is absent in"
"http://purl.org/genex#isExpressedIn","is expressed in"
"http://purl.obolibrary.org/obo/provides_greater_confidence_than","provides greater confidence than"
"http://purl.org/net/orth#organism","in organism"
"http://semanticscience.org/resource/SIO_010078","encodes"
"http://purl.obolibrary.org/obo/CDAO_0000194","part_of"
"http://purl.obolibrary.org/obo/RO_0001018","contained in"
"http://purl.obolibrary.org/obo/RO_0002245","over-expressed in"
"http://purl.obolibrary.org/obo/RO_0002246","under-expressed in"
"http://purl.obolibrary.org/obo/RO_0002291","ubiquitously expressed in"
"http://purl.obolibrary.org/obo/RO_0002292","expresses"
"http://purl.obolibrary.org/obo/RO_0002293","ubiquitously expresses"
"http://purl.obolibrary.org/obo/RO_0002330","genomically related to"
"http://purl.uniprot.org/core/replaces","replaces"
"http://purl.org/genex#hasAnatomicalEntity","has anatomical entity"
"http://purl.org/genex#hasDevelopmentalStage","has a developmental stage"
"http://purl.org/genex#hasExpressionCharacteristic","has expression level characteristic"
"http://purl.org/genex#hasStrain","has strain"
"http://purl.org/net/orth#hasHomologousMember","has homologous member"
"http://semanticscience.org/resource/SIO_010079","is encoded by"
"http://purl.org/query/voidext#hasPerformanceMeasure","has performance measure"
"http://purl.org/query/voidext#intersectAt","intersects at"
"http://purl.org/query/voidext#intersectionType","intersection type"
"http://purl.org/query/voidext#isSubsetOf","is subset of"
"http://purl.org/query/voidext#recommendedMapping","recommended mapping from"
"http://rdfs.org/ns/void#inDataset","in dataset"
"http://rdfs.org/ns/void#inDataset","In dataset"
"http://purl.obolibrary.org/obo/CDAO_0000148","has_Root"
"http://purl.obolibrary.org/obo/CDAO_0000178","has"
"http://purl.obolibrary.org/obo/RO_0002350","member of"
"http://purl.org/net/orth#hasAncestralEvolutionaryEvent","has ancestral evolutionary event"
"http://purl.org/net/orth#hasCoOrthologousMember","has co-orthologous member"
"http://purl.org/net/orth#hasDescendantEvolutionaryEvent","has descendant evolutionary event"
"http://purl.org/net/orth#hasEvolutionaryEvent","has evolutionary event"
"http://purl.org/net/orth#hasHomolog","has homolog"
"http://purl.org/net/orth#hasHomologyData","has homology data"
"http://purl.org/net/orth#hasInparalogousMember","has inparalogous member"
"http://purl.org/net/orth#hasLeastDivergedOrtholog","has least diverged ortholog"
"http://purl.org/net/orth#hasOrtholog","has ortholog"
"http://purl.org/net/orth#hasOrtholog","is ortholog to"
"http://purl.org/net/orth#hasParalog","has paralog"
"http://purl.org/net/orth#hasParalog","is paralog to"
"http://purl.org/net/orth#hasTaxonomicRange","has taxonomic level"
"http://purl.org/net/orth#hasTaxonomicRange","Has taxonomic range"
"http://purl.org/net/orth#hasXenolog","has xenolog"
"http://purl.org/net/orth#inDataset","in dataset"
"http://purl.org/net/orth#isHomologousMember","is homologous member"
"http://semanticscience.org/resource/SIO_000028","has part"
